Question	Answer	Key	Word	Quantifier
What did you eat for brunch?	I ate $PAUSE some $Word	a	apples	
What did you eat for breakfast?	I ate $PAUSE some $Word	b	bread	slices of
What did you eat for lunch?	I ate $PAUSE some $Word	c	carrots	
What did you eat for brunch?	I ate $PAUSE some $Word	d	dragonfruits	
What did you eat for lunch?	I ate $PAUSE some $Word	e	eggs	
What did you eat for lunch?	I ate $PAUSE some $Word	f	fish	
What did you eat for lunch?	I ate $PAUSE some $Word	g	green peppers	
What did you eat for breakfast?	I ate $PAUSE some $Word	h	honey	spoons of
What did you eat for dessert?	I ate $PAUSE some $Word	i	ice cream	scoops of
What did you eat for lunch?	I ate $PAUSE some $Word	j	jam	spoons of
What did you eat for lunch?	I ate $PAUSE some $Word	k	kiwis	
What did you eat for dinner?	I ate $PAUSE some $Word	l	lobsters	
What did you eat for lunch?	I ate $PAUSE some $Word	m	mangoes	
What did you eat for breakfast?	I ate $PAUSE some $Word	n	nuts	pieces of
What did you eat for lunch?	I ate $PAUSE some $Word	o	oranges	
What did you eat for dinner?	I ate $PAUSE some $Word	p	pumpkins	
What did you eat for brunch?	I ate $PAUSE some $Word	q	quinoa	bowls of
What did you eat for lunch?	I ate $PAUSE some $Word	r	rice	bowls of
What did you eat for dinner?	I ate $PAUSE some $Word	s	shrimps	
What did you eat for lunch?	I ate $PAUSE some $Word	t	tomatoes	
What did you eat for lunch?	I ate $PAUSE some $Word	u	udon	bowls of
What did you eat for lunch?	I ate $PAUSE some $Word	v	veggies	pieces of
What did you eat for brunch?	I ate $PAUSE some $Word	w	watermelons	
What did you eat for snacks?	I ate $PAUSE some $Word	x	xmas cookies	pieces of
What did you eat for breakfast?	I ate $PAUSE some $Word	y	yogurt	bowls of
What did you eat for dinner?	I ate $PAUSE some $Word	z	zucchinis	
How many $PrevQuantifier $PrevWord did you eat?	I ate $Word $PrevQuantifier $PrevWord	0	0	
How many $PrevQuantifier $PrevWord did you eat?	I ate $Word $PrevQuantifier $PrevWord	1	1	
How many $PrevQuantifier $PrevWord did you eat?	I ate $Word $PrevQuantifier $PrevWord	2	2	
How many $PrevQuantifier $PrevWord did you eat?	I ate $Word $PrevQuantifier $PrevWord	3	3	
How many $PrevQuantifier $PrevWord did you eat?	I ate $Word $PrevQuantifier $PrevWord	4	4	
How many $PrevQuantifier $PrevWord did you eat?	I ate $Word $PrevQuantifier $PrevWord	5	5	
How many $PrevQuantifier $PrevWord did you eat?	I ate $Word $PrevQuantifier $PrevWord	6	6	
How many $PrevQuantifier $PrevWord did you eat?	I ate $Word $PrevQuantifier $PrevWord	7	7	
How many $PrevQuantifier $PrevWord did you eat?	I ate $Word $PrevQuantifier $PrevWord	8	8	
How many $PrevQuantifier $PrevWord did you eat?	I ate $Word $PrevQuantifier $PrevWord	9	9	
